Tweet,Like,Reply,Retweet,Author,Date
Request for startup: Smoke detector which the user can address via Bluetooth to declare that they’re just trying to make a burger and that the exhaust fan on the stove doesn’t actually do anything,20,4,2,Jason D. Rowley,2 May
"Random request: I can’t travel there myself right now, but I need to read more about the places, culture and more for small-time startups in San Francisco, Silicon Valley etc. What books, blogs, articles and so on should I read to really understand that life? For a writing thing",0,3,3,Steve Parks,3 May
"Request for startup or small business:

I send you an essay, or a blog post, or some moderate length text

you send me a Dropbox link with audio file of decent reading

As in 1 take from medium skill voice actor who can pronounce (or look up pronunciation for technical terms)",109,26,8,Conor White-Sullivan 𐃏,5 May
A @medriscoll request for startups: is there some search engine that can just search through his tabs? Because we are still looking...,2,3,0,James Cham,5 May
"I’m not a tech snob, but if someone we are looking to hire asks me to use NotWord™, they are pre-fired.",4,3,1,Joey D'Antoni,6 May
"Google docs makes a docx just fine 99% of the time. When I work in startup land an office license is a special request because they pay for Google docs. 

Of course if it's my resume I'm at least checking the export in office 365.",0,1,0,Justin Dearing,7 May
"We turned our passion into a career and we leverage #technology to fuel the passion.

We have built a leading peer-to-peer #edtech startup ( social e-learning platform for anyone under the age of 25; who can request experts on demand.

Team @smartclasstz #edtech ",4,0,1,smartclasstz,4 May
Don’t be surprised when doors open that you tried to keep closed. God sees potential in you that you can’t see in yourself. He’s going to present you with opportunities that seem way over your head. Don’t shrink back. You are well able.,"20,3 B",704,"4,2 B",Joel Osteen,30 Nis
"Amen man of God!
Kindly  i request for support of $1500 here in Uganda to help me start up something that is worthy transforming the next generation.
Blessings 
Thank you",0,0,0,goddyaloysius Otim,3 May
The organization has issued a request for proposals for the project.​,1,0,0,STLBusinessJournal,3 May
Request for startup: Personal details API. I move a fair bit (and with remote becoming more acceptable I expect this 'people moving a lot' will increase) and want to be able to update *all* interested parties within portal.,0,0,0,Will Wearing,6 May
"We turned our passion into a career and we leverage #technology to fuel the passion.

We have built a leading peer-to-peer #edtech startup ( social e-learning platform for anyone under the age of 25; who can request experts on demand.

Team @smartclasstz #edtech ",65,2,19,Adam A.Duma,4 May
